action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,3065938,[],CHEMBL1039801,Antagonist activity at human 5HT2A receptor expressed in CHO cells assessed as inhibition of (R)-(-)-DOI hydrochloride-induced intracellular calcium mobilization by FLIPR assay,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)NCCc1cccc2[nH]cc(S(=O)(=O)c3ccccc3)c12,,,CHEMBL1152674,Bioorg Med Chem,2009,,CHEMBL595457,,CHEMBL595457,6.19,0,http://www.openphacts.org/units/Nanomolar,873644,=,1,1,=,,IC50,nM,,650.0,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,IC50,nM,UO_0000065,,650.0
,,3065942,[],CHEMBL1039801,Antagonist activity at human 5HT2A receptor expressed in CHO cells assessed as inhibition of (R)-(-)-DOI hydrochloride-induced intracellular calcium mobilization by FLIPR assay,F,,,BAO_0000190,BAO_0000219,cell-based format,O=S(=O)(c1ccccc1)c1c[nH]c2cccc(CCNC3CCCC3)c12,,,CHEMBL1152674,Bioorg Med Chem,2009,,CHEMBL605309,,CHEMBL605309,7.51,0,http://www.openphacts.org/units/Nanomolar,873645,=,1,1,=,,IC50,nM,,31.0,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,IC50,nM,UO_0000065,,31.0
,,3065946,[],CHEMBL1039801,Antagonist activity at human 5HT2A receptor expressed in CHO cells assessed as inhibition of (R)-(-)-DOI hydrochloride-induced intracellular calcium mobilization by FLIPR assay,F,,,BAO_0000190,BAO_0000219,cell-based format,CN(C)CCc1cccc2[nH]cc(S(=O)(=O)c3ccccc3)c12,,,CHEMBL1152674,Bioorg Med Chem,2009,,CHEMBL596148,,CHEMBL596148,6.34,0,http://www.openphacts.org/units/Nanomolar,873665,=,1,1,=,,IC50,nM,,459.0,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,IC50,nM,UO_0000065,,459.0
,,3065950,[],CHEMBL1039801,Antagonist activity at human 5HT2A receptor expressed in CHO cells assessed as inhibition of (R)-(-)-DOI hydrochloride-induced intracellular calcium mobilization by FLIPR assay,F,,,BAO_0000190,BAO_0000219,cell-based format,CCN(C)CCc1cccc2[nH]cc(S(=O)(=O)c3ccccc3)c12,,,CHEMBL1152674,Bioorg Med Chem,2009,,CHEMBL603430,,CHEMBL603430,6.08,0,http://www.openphacts.org/units/Nanomolar,873666,=,1,1,=,,IC50,nM,,832.0,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,IC50,nM,UO_0000065,,832.0
,,3065954,[],CHEMBL1039801,Antagonist activity at human 5HT2A receptor expressed in CHO cells assessed as inhibition of (R)-(-)-DOI hydrochloride-induced intracellular calcium mobilization by FLIPR assay,F,,,BAO_0000190,BAO_0000219,cell-based format,O=S(=O)(c1ccccc1)c1c[nH]c2cccc(CCN3CCCC3)c12,,,CHEMBL1152674,Bioorg Med Chem,2009,,CHEMBL606144,,CHEMBL606144,6.59,0,http://www.openphacts.org/units/Nanomolar,873684,=,1,1,=,,IC50,nM,,258.0,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,IC50,nM,UO_0000065,,258.0
,,3065958,[],CHEMBL1039801,Antagonist activity at human 5HT2A receptor expressed in CHO cells assessed as inhibition of (R)-(-)-DOI hydrochloride-induced intracellular calcium mobilization by FLIPR assay,F,,,BAO_0000190,BAO_0000219,cell-based format,O=S(=O)(c1ccccc1)c1c[nH]c2cccc(CCN3CCCCC3)c12,,,CHEMBL1152674,Bioorg Med Chem,2009,,CHEMBL595252,,CHEMBL595252,6.75,0,http://www.openphacts.org/units/Nanomolar,873685,=,1,1,=,,IC50,nM,,180.0,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,IC50,nM,UO_0000065,,180.0
,,3065962,[],CHEMBL1039801,Antagonist activity at human 5HT2A receptor expressed in CHO cells assessed as inhibition of (R)-(-)-DOI hydrochloride-induced intracellular calcium mobilization by FLIPR assay,F,,,BAO_0000190,BAO_0000219,cell-based format,O=S(=O)(c1ccccc1)c1c[nH]c2cccc(CCN3CCCCCC3)c12,,,CHEMBL1152674,Bioorg Med Chem,2009,,CHEMBL593614,,CHEMBL593614,7.16,0,http://www.openphacts.org/units/Nanomolar,873693,=,1,1,=,,IC50,nM,,69.0,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,IC50,nM,UO_0000065,,69.0
,,3065966,[],CHEMBL1039801,Antagonist activity at human 5HT2A receptor expressed in CHO cells assessed as inhibition of (R)-(-)-DOI hydrochloride-induced intracellular calcium mobilization by FLIPR assay,F,,,BAO_0000190,BAO_0000219,cell-based format,CC1CCCCN1CCc1cccc2[nH]cc(S(=O)(=O)c3ccccc3)c12,,,CHEMBL1152674,Bioorg Med Chem,2009,,CHEMBL603417,,CHEMBL603417,7.04,0,http://www.openphacts.org/units/Nanomolar,873694,=,1,1,=,,IC50,nM,,92.0,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,IC50,nM,UO_0000065,,92.0
,,3065970,[],CHEMBL1039801,Antagonist activity at human 5HT2A receptor expressed in CHO cells assessed as inhibition of (R)-(-)-DOI hydrochloride-induced intracellular calcium mobilization by FLIPR assay,F,,,BAO_0000190,BAO_0000219,cell-based format,CC1CCCN(CCc2cccc3[nH]cc(S(=O)(=O)c4ccccc4)c23)C1,,,CHEMBL1152674,Bioorg Med Chem,2009,,CHEMBL605089,,CHEMBL605089,7.24,0,http://www.openphacts.org/units/Nanomolar,873720,=,1,1,=,,IC50,nM,,57.0,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,IC50,nM,UO_0000065,,57.0
,,3065974,[],CHEMBL1039801,Antagonist activity at human 5HT2A receptor expressed in CHO cells assessed as inhibition of (R)-(-)-DOI hydrochloride-induced intracellular calcium mobilization by FLIPR assay,F,,,BAO_0000190,BAO_0000219,cell-based format,CCN(C)CCCc1cccc2[nH]cc(S(=O)(=O)c3ccccc3)c12,,,CHEMBL1152674,Bioorg Med Chem,2009,,CHEMBL593821,,CHEMBL593821,6.32,0,http://www.openphacts.org/units/Nanomolar,873721,=,1,1,=,,IC50,nM,,477.0,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,IC50,nM,UO_0000065,,477.0
,,3065978,[],CHEMBL1039801,Antagonist activity at human 5HT2A receptor expressed in CHO cells assessed as inhibition of (R)-(-)-DOI hydrochloride-induced intracellular calcium mobilization by FLIPR assay,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)NCCCc1cccc2[nH]cc(S(=O)(=O)c3ccccc3)c12,,,CHEMBL1152674,Bioorg Med Chem,2009,,CHEMBL594519,,CHEMBL594519,5.22,0,http://www.openphacts.org/units/Nanomolar,873735,=,1,1,=,,IC50,nM,,5979.0,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,IC50,nM,UO_0000065,,5979.0
,,3065982,[],CHEMBL1039801,Antagonist activity at human 5HT2A receptor expressed in CHO cells assessed as inhibition of (R)-(-)-DOI hydrochloride-induced intracellular calcium mobilization by FLIPR assay,F,,,BAO_0000190,BAO_0000219,cell-based format,O=S(=O)(c1ccccc1)c1c[nH]c2cccc(CCCN3CCCCC3)c12,,,CHEMBL1152674,Bioorg Med Chem,2009,,CHEMBL604685,,CHEMBL604685,5.10,0,http://www.openphacts.org/units/Nanomolar,873736,=,1,1,=,,IC50,nM,,7972.0,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,IC50,nM,UO_0000065,,7972.0
,,3080389,[],CHEMBL1069951,Agonist activity against human 5HT2A receptor by FLIPR assay relative to 5HT,F,,,BAO_0000190,BAO_0000019,assay format,Cc1ccc(F)cc1CO[C@H]1CCc2ccc(N3CCNC[C@H]3C)nc21,,,CHEMBL1153119,Bioorg Med Chem Lett,2010,,CHEMBL594717,,CHEMBL594717,7.34,0,http://www.openphacts.org/units/Nanomolar,878578,=,1,1,=,,IC50,nM,,46.0,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,IC50,nM,UO_0000065,,46.0
,,3121215,[],CHEMBL1074221,Activity at human 5HT2A receptor expressed in HEK293 cells assessed as [3H]inositol phosphate production by scintillation counting,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(NC(=O)Nc2ccc(Cl)cc2)cc1-c1c(Br)cnn1C,,,CHEMBL1157565,J Med Chem,2010,,CHEMBL591223,,CHEMBL591223,9.10,0,http://www.openphacts.org/units/Nanomolar,887117,=,1,1,=,,IC50,nM,,0.7943,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,pIC50,,UO_0000065,,9.1
,,3121219,[],CHEMBL1074221,Activity at human 5HT2A receptor expressed in HEK293 cells assessed as [3H]inositol phosphate production by scintillation counting,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(NC(=O)Nc2cccc(Cl)c2)cc1-c1c(Br)cnn1C,,,CHEMBL1157565,J Med Chem,2010,,CHEMBL602874,,CHEMBL602874,9.40,0,http://www.openphacts.org/units/Nanomolar,887118,=,1,1,=,,IC50,nM,,0.3981,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,pIC50,,UO_0000065,,9.4
,,3121223,[],CHEMBL1074221,Activity at human 5HT2A receptor expressed in HEK293 cells assessed as [3H]inositol phosphate production by scintillation counting,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(NC(=O)Nc2ccc(F)cc2)cc1-c1c(Br)cnn1C,,,CHEMBL1157565,J Med Chem,2010,,CHEMBL603078,,CHEMBL603078,9.60,0,http://www.openphacts.org/units/Nanomolar,887119,=,1,1,=,,IC50,nM,,0.2512,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,pIC50,,UO_0000065,,9.6
,,3121227,[],CHEMBL1074221,Activity at human 5HT2A receptor expressed in HEK293 cells assessed as [3H]inositol phosphate production by scintillation counting,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(NC(=O)Nc2cccc(F)c2)cc1-c1c(Br)cnn1C,,,CHEMBL1157565,J Med Chem,2010,,CHEMBL602064,,CHEMBL602064,9.10,0,http://www.openphacts.org/units/Nanomolar,887120,=,1,1,=,,IC50,nM,,0.7943,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,pIC50,,UO_0000065,,9.1
,,3121231,[],CHEMBL1074221,Activity at human 5HT2A receptor expressed in HEK293 cells assessed as [3H]inositol phosphate production by scintillation counting,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(NC(=O)Nc2ccccc2F)cc1-c1c(Br)cnn1C,,,CHEMBL1157565,J Med Chem,2010,,CHEMBL601097,,CHEMBL601097,8.80,0,http://www.openphacts.org/units/Nanomolar,887222,=,1,1,=,,IC50,nM,,1.585,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,pIC50,,UO_0000065,,8.8
,,3121235,[],CHEMBL1074221,Activity at human 5HT2A receptor expressed in HEK293 cells assessed as [3H]inositol phosphate production by scintillation counting,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(NC(=O)Nc2ccc(Br)cc2)cc1-c1c(Br)cnn1C,,,CHEMBL1157565,J Med Chem,2010,,CHEMBL599225,,CHEMBL599225,9.30,0,http://www.openphacts.org/units/Nanomolar,887223,=,1,1,=,,IC50,nM,,0.5012,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,pIC50,,UO_0000065,,9.3
,,3121239,[],CHEMBL1074221,Activity at human 5HT2A receptor expressed in HEK293 cells assessed as [3H]inositol phosphate production by scintillation counting,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(NC(=O)Nc2cccc(C(F)(F)F)c2)cc1-c1c(Br)cnn1C,,,CHEMBL1157565,J Med Chem,2010,,CHEMBL599226,,CHEMBL599226,9.40,0,http://www.openphacts.org/units/Nanomolar,887224,=,1,1,=,,IC50,nM,,0.3981,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,pIC50,,UO_0000065,,9.4
,,3121243,[],CHEMBL1074221,Activity at human 5HT2A receptor expressed in HEK293 cells assessed as [3H]inositol phosphate production by scintillation counting,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(NC(=O)Nc2ccc(C(F)(F)F)cc2)cc1-c1c(Br)cnn1C,,,CHEMBL1157565,J Med Chem,2010,,CHEMBL606191,,CHEMBL606191,8.80,0,http://www.openphacts.org/units/Nanomolar,887225,=,1,1,=,,IC50,nM,,1.585,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,pIC50,,UO_0000065,,8.8
,,3121247,[],CHEMBL1074221,Activity at human 5HT2A receptor expressed in HEK293 cells assessed as [3H]inositol phosphate production by scintillation counting,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(NC(=O)Nc2cccc(C(C)=O)c2)cc1-c1c(Br)cnn1C,,,CHEMBL1157565,J Med Chem,2010,,CHEMBL599429,,CHEMBL599429,8.40,0,http://www.openphacts.org/units/Nanomolar,887226,=,1,1,=,,IC50,nM,,3.981,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,pIC50,,UO_0000065,,8.4
,,3121251,[],CHEMBL1074221,Activity at human 5HT2A receptor expressed in HEK293 cells assessed as [3H]inositol phosphate production by scintillation counting,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(NC(=O)Nc2ccc(OC)c(-c3c(Br)cnn3C)c2)cc1,,,CHEMBL1157565,J Med Chem,2010,,CHEMBL603609,,CHEMBL603609,9.40,0,http://www.openphacts.org/units/Nanomolar,887322,=,1,1,=,,IC50,nM,,0.3981,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,pIC50,,UO_0000065,,9.4
,,3121255,[],CHEMBL1074221,Activity at human 5HT2A receptor expressed in HEK293 cells assessed as [3H]inositol phosphate production by scintillation counting,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(NC(=O)Nc2ccc(N(C)C)cc2)cc1-c1c(Br)cnn1C,,,CHEMBL1157565,J Med Chem,2010,,CHEMBL596975,,CHEMBL596975,7.30,0,http://www.openphacts.org/units/Nanomolar,887323,=,1,1,=,,IC50,nM,,50.12,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,pIC50,,UO_0000065,,7.3
,,3121259,[],CHEMBL1074221,Activity at human 5HT2A receptor expressed in HEK293 cells assessed as [3H]inositol phosphate production by scintillation counting,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(NC(=O)Nc2ccc(C(C)C)cc2)cc1-c1c(Br)cnn1C,,,CHEMBL1157565,J Med Chem,2010,,CHEMBL596976,,CHEMBL596976,8.60,0,http://www.openphacts.org/units/Nanomolar,887324,=,1,1,=,,IC50,nM,,2.512,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,pIC50,,UO_0000065,,8.6
,,3121263,[],CHEMBL1074221,Activity at human 5HT2A receptor expressed in HEK293 cells assessed as [3H]inositol phosphate production by scintillation counting,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(NC(=O)Nc2cccc(C#N)c2)cc1-c1c(Br)cnn1C,,,CHEMBL1157565,J Med Chem,2010,,CHEMBL608425,,CHEMBL608425,8.20,0,http://www.openphacts.org/units/Nanomolar,887325,=,1,1,=,,IC50,nM,,6.31,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,pIC50,,UO_0000065,,8.2
,,3121267,[],CHEMBL1074221,Activity at human 5HT2A receptor expressed in HEK293 cells assessed as [3H]inositol phosphate production by scintillation counting,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(NC(=O)Nc2ccc(Cl)cc2)cc1-c1c(Br)cnn1C(C)C,,,CHEMBL1157565,J Med Chem,2010,,CHEMBL604586,,CHEMBL604586,8.90,0,http://www.openphacts.org/units/Nanomolar,887326,=,1,1,=,,IC50,nM,,1.259,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,pIC50,,UO_0000065,,8.9
,,3121271,[],CHEMBL1074221,Activity at human 5HT2A receptor expressed in HEK293 cells assessed as [3H]inositol phosphate production by scintillation counting,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(NC(=O)Nc2ccc(F)cc2)cc1-c1c(Br)cnn1C(C)C,,,CHEMBL1157565,J Med Chem,2010,,CHEMBL606622,,CHEMBL606622,9.00,0,http://www.openphacts.org/units/Nanomolar,887432,=,1,1,=,,IC50,nM,,1.0,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,pIC50,,UO_0000065,,9.0
,,3121275,[],CHEMBL1074221,Activity at human 5HT2A receptor expressed in HEK293 cells assessed as [3H]inositol phosphate production by scintillation counting,F,,,BAO_0000190,BAO_0000219,cell-based format,Cn1ncc(Br)c1-c1cc(NC(=O)Nc2ccc(Cl)cc2)ccc1O,,,CHEMBL1157565,J Med Chem,2010,,CHEMBL605636,,CHEMBL605636,8.80,0,http://www.openphacts.org/units/Nanomolar,887433,=,1,1,=,,IC50,nM,,1.585,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,pIC50,,UO_0000065,,8.8
,,3121279,[],CHEMBL1074221,Activity at human 5HT2A receptor expressed in HEK293 cells assessed as [3H]inositol phosphate production by scintillation counting,F,,,BAO_0000190,BAO_0000219,cell-based format,Cn1ncc(Br)c1-c1cc(NC(=O)Nc2ccc(Cl)cc2)ccc1OC(F)(F)F,,,CHEMBL1157565,J Med Chem,2010,,CHEMBL596735,,CHEMBL596735,7.80,0,http://www.openphacts.org/units/Nanomolar,887434,=,1,1,=,,IC50,nM,,15.85,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,pIC50,,UO_0000065,,7.8
,,3121283,[],CHEMBL1074221,Activity at human 5HT2A receptor expressed in HEK293 cells assessed as [3H]inositol phosphate production by scintillation counting,F,,,BAO_0000190,BAO_0000219,cell-based format,CCOc1ccc(NC(=O)Nc2ccc(Cl)cc2)cc1-c1c(Br)cnn1C,,,CHEMBL1157565,J Med Chem,2010,,CHEMBL599193,,CHEMBL599193,8.80,0,http://www.openphacts.org/units/Nanomolar,887435,=,1,1,=,,IC50,nM,,1.585,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,pIC50,,UO_0000065,,8.8
,,3121287,[],CHEMBL1074221,Activity at human 5HT2A receptor expressed in HEK293 cells assessed as [3H]inositol phosphate production by scintillation counting,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)Oc1ccc(NC(=O)Nc2ccc(Cl)cc2)cc1-c1c(Br)cnn1C,,,CHEMBL1157565,J Med Chem,2010,,CHEMBL599194,,CHEMBL599194,8.80,0,http://www.openphacts.org/units/Nanomolar,887436,=,1,1,=,,IC50,nM,,1.585,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,pIC50,,UO_0000065,,8.8
,,3121291,[],CHEMBL1074221,Activity at human 5HT2A receptor expressed in HEK293 cells assessed as [3H]inositol phosphate production by scintillation counting,F,,,BAO_0000190,BAO_0000219,cell-based format,Cn1ncc(Br)c1-c1cc(NC(=O)Nc2ccc(Cl)cc2)ccc1OCc1ccccc1,,,CHEMBL1157565,J Med Chem,2010,,CHEMBL598378,,CHEMBL598378,8.10,0,http://www.openphacts.org/units/Nanomolar,887516,=,1,1,=,,IC50,nM,,7.943,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,pIC50,,UO_0000065,,8.1
,,3121295,[],CHEMBL1074221,Activity at human 5HT2A receptor expressed in HEK293 cells assessed as [3H]inositol phosphate production by scintillation counting,F,,,BAO_0000190,BAO_0000219,cell-based format,Cn1ncc(Br)c1-c1cc(NC(=O)Nc2ccc(Cl)cc2)ccc1OCc1ccc(Cl)cc1,,,CHEMBL1157565,J Med Chem,2010,,CHEMBL597151,,CHEMBL597151,7.90,0,http://www.openphacts.org/units/Nanomolar,887517,=,1,1,=,,IC50,nM,,12.59,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,pIC50,,UO_0000065,,7.9
