,assay_chembl_id,canonical_smiles,molecule_chembl_id,parent_molecule_chembl_id,standard_value,uo_units
13,CHEMBL4627009,COc1c(OCCOCCOCCOCCOCCOCCOc2ccc(C3CCN(c4ccn5c(CC6CC6)nnc5c4Cl)CC3)cc2)cccc1C(=O)C1CCN(CCc2ccc(F)cc2)CC1,CHEMBL4638687,CHEMBL4638687,270.0,UO_0000065
14,CHEMBL4627009,COc1c(OCCOCCOCCOCCOCCOCCOCCOCCOc2ccc(C3CCN(c4ccn5c(CC6CC6)nnc5c4Cl)CC3)cc2)cccc1C(=O)C1CCN(CCc2ccc(F)cc2)CC1,CHEMBL4645193,CHEMBL4645193,410.0,UO_0000065
15,CHEMBL4627009,COc1c(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOc2ccc(C3CCN(c4ccn5c(CC6CC6)nnc5c4Cl)CC3)cc2)cccc1C(=O)C1CCN(CCc2ccc(F)cc2)CC1,CHEMBL4641860,CHEMBL4641860,300.0,UO_0000065
16,CHEMBL4627009,COc1c(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOc2ccc(C3CCN(c4ccn5c(CC6CC6)nnc5c4Cl)CC3)cc2)cccc1C(=O)C1CCN(CCc2ccc(F)cc2)CC1,CHEMBL4635960,CHEMBL4635960,520.0,UO_0000065
17,CHEMBL4627009,COc1c(O)cccc1C(=O)C1CCN(CCc2ccc(F)cc2)CC1,CHEMBL489624,CHEMBL489624,10.96,UO_0000065
18,CHEMBL4627009,COc1cccc(C(=O)C2CCN(CCc3ccc(F)cc3)CC2)c1OC,CHEMBL4638006,CHEMBL4638006,0.8128,UO_0000065
19,CHEMBL4627009,COCCOc1cccc(C(=O)C2CCN(CCc3ccc(F)cc3)CC2)c1OC,CHEMBL4636980,CHEMBL4636980,9.333,UO_0000065
20,CHEMBL4627009,COc1ccccc1C1CCN(c2ccn3c(CC4CC4)nnc3c2Cl)CC1,CHEMBL2206440,CHEMBL2206440,1288.25,UO_0000065
21,CHEMBL4627009,COc1cccc(C2CCN(c3ccn4c(CC5CC5)nnc4c3Cl)CC2)c1,CHEMBL4646835,CHEMBL4646835,4168.69,UO_0000065
22,CHEMBL4627009,COc1ccc(C2CCN(c3ccn4c(CC5CC5)nnc4c3Cl)CC2)cc1,CHEMBL4632373,CHEMBL4632373,50118.72,UO_0000065
23,CHEMBL4627009,COCCOc1ccccc1C1CCN(c2ccn3c(CC4CC4)nnc3c2Cl)CC1,CHEMBL4643961,CHEMBL4643961,3981.07,UO_0000065
24,CHEMBL4627009,COCCOc1cccc(C2CCN(c3ccn4c(CC5CC5)nnc4c3Cl)CC2)c1,CHEMBL4635729,CHEMBL4635729,6025.6,UO_0000065
25,CHEMBL4627009,COCCOc1ccc(C2CCN(c3ccn4c(CC5CC5)nnc4c3Cl)CC2)cc1,CHEMBL4645305,CHEMBL4645305,50118.72,UO_0000065
26,CHEMBL4627009,Oc1ccc(C2CCN(c3ccn4c(CC5CC5)nnc4c3Cl)CC2)cc1,CHEMBL4646555,CHEMBL4646555,724.44,UO_0000065
27,CHEMBL4627009,COc1c(OCCOCCOCCOc2ccc(C3CCN(c4ccn5c(CC6CC6)nnc5c4Cl)CC3)cc2)cccc1C(=O)C1CCN(CCc2ccc(F)cc2)CC1,CHEMBL4642761,CHEMBL4642761,1202.26,UO_0000065
28,CHEMBL4627009,COc1c(OCCOCCOCCOCCOc2ccc(C3CCN(c4ccn5c(CC6CC6)nnc5c4Cl)CC3)cc2)cccc1C(=O)C1CCN(CCc2ccc(F)cc2)CC1,CHEMBL4639821,CHEMBL4639821,288.4,UO_0000065
29,CHEMBL4627009,COc1c(OCCOCCOCCOCCOCCOc2ccc(C3CCN(c4ccn5c(CC6CC6)nnc5c4Cl)CC3)cc2)cccc1C(=O)C1CCN(CCc2ccc(F)cc2)CC1,CHEMBL4635373,CHEMBL4635373,446.68,UO_0000065
30,CHEMBL4627009,COc1c(OCCOCCOCCOCCOCCOCCOc2ccc(C3CCN(c4ccn5c(CC6CC6)nnc5c4Cl)CC3)cc2)cccc1C(=O)C1CCN(CCc2ccc(F)cc2)CC1,CHEMBL4638687,CHEMBL4638687,275.42,UO_0000065
31,CHEMBL4627009,COc1c(OCCOCCOCCOCCOCCOCCOCCOCCOc2ccc(C3CCN(c4ccn5c(CC6CC6)nnc5c4Cl)CC3)cc2)cccc1C(=O)C1CCN(CCc2ccc(F)cc2)CC1,CHEMBL4645193,CHEMBL4645193,407.38,UO_0000065
32,CHEMBL4627009,COc1c(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOc2ccc(C3CCN(c4ccn5c(CC6CC6)nnc5c4Cl)CC3)cc2)cccc1C(=O)C1CCN(CCc2ccc(F)cc2)CC1,CHEMBL4641860,CHEMBL4641860,302.0,UO_0000065
33,CHEMBL4627009,COc1c(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOc2ccc(C3CCN(c4ccn5c(CC6CC6)nnc5c4Cl)CC3)cc2)cccc1C(=O)C1CCN(CCc2ccc(F)cc2)CC1,CHEMBL4635960,CHEMBL4635960,512.86,UO_0000065
34,CHEMBL5135453,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCN(C)CC2)cc1,CHEMBL2111101,CHEMBL2111101,27.3,UO_0000065
35,CHEMBL5135453,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCN(CCN(C)C)CC2)cc1,CHEMBL5181824,CHEMBL5181824,75.4,UO_0000065
36,CHEMBL5135453,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCN(CC(=O)N(C)C)CC2)cc1,CHEMBL5198862,CHEMBL5198862,252.0,UO_0000065
37,CHEMBL5135453,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CC(N(C)C)C2)cc1,CHEMBL5188595,CHEMBL5188595,138.8,UO_0000065
38,CHEMBL5135453,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCC(N(C)C)C2)cc1,CHEMBL5194786,CHEMBL5194786,110.2,UO_0000065
39,CHEMBL5135453,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cn2)C2CCN(C)CC2)cc1,CHEMBL5184703,CHEMBL5184703,8.64,UO_0000065
40,CHEMBL5135453,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)nn2)C2CCN(C)CC2)cc1,CHEMBL5199061,CHEMBL5199061,14.7,UO_0000065
41,CHEMBL5135453,CC(C)COc1ccc(CNC(=O)N(Cc2ncc(F)cc2F)C2CCN(C)CC2)cc1,CHEMBL5200635,CHEMBL5200635,43.2,UO_0000065
42,CHEMBL5135453,CN1CCC(N(Cc2ccc(F)cn2)C(=O)NCc2ccc(OCCF)cc2)CC1,CHEMBL5178732,CHEMBL5178732,2.11,UO_0000065
43,CHEMBL5135453,CN1CCC(N(Cc2ccc(F)cn2)C(=O)NCc2ccc(OCC(F)F)cc2)CC1,CHEMBL5172822,CHEMBL5172822,2.17,UO_0000065
44,CHEMBL5135453,CN1CCC(N(Cc2ccc(F)cn2)C(=O)NCc2ccc(OCC(F)(F)F)cc2)CC1,CHEMBL5205903,CHEMBL5205903,0.54,UO_0000065
45,CHEMBL5135453,CN1CCC(N(Cc2ccc(F)cn2)C(=O)NCc2ccc(OCCCF)cc2)CC1,CHEMBL5173703,CHEMBL5173703,1.93,UO_0000065
46,CHEMBL5135453,CN1CCC(N(Cc2ccc(F)cn2)C(=O)NCc2ccc(OCCC(F)F)cc2)CC1,CHEMBL5198919,CHEMBL5198919,4.64,UO_0000065
47,CHEMBL5135453,CN1CCC(N(Cc2ccc(F)cn2)C(=O)NCc2ccc(OCCC(F)(F)F)cc2)CC1,CHEMBL5184906,CHEMBL5184906,4.7,UO_0000065
48,CHEMBL5135453,CN1CCC(N(Cc2ccc(F)cn2)C(=O)NCc2ccc(OCCCCF)cc2)CC1,CHEMBL5198741,CHEMBL5198741,2.35,UO_0000065
49,CHEMBL5135453,CN1CCC(N(Cc2ccc(F)cn2)C(=O)NCc2ccc(OCCCC(F)F)cc2)CC1,CHEMBL5175451,CHEMBL5175451,4.29,UO_0000065
50,CHEMBL5135453,CN1CCC(N(Cc2ccc(F)cn2)C(=O)NCc2ccc(OCCCC(F)(F)F)cc2)CC1,CHEMBL5189473,CHEMBL5189473,3.78,UO_0000065
51,CHEMBL5135453,CN1CCC(N(Cc2ccc(F)cn2)C(=O)NCc2ccc(OCC(C)(C)F)cc2)CC1,CHEMBL5184297,CHEMBL5184297,3.13,UO_0000065
52,CHEMBL5135453,CN1CCC(N(Cc2ccc(F)cn2)C(=O)NCc2ccc(OC(F)(F)C(F)(F)F)cc2)CC1,CHEMBL5173149,CHEMBL5173149,33.4,UO_0000065
53,CHEMBL5135453,CC(C)OCc1ccc(CNC(=O)N(Cc2ccc(F)cn2)C2CCN(C)CC2)cc1,CHEMBL5200074,CHEMBL5200074,2.05,UO_0000065
54,CHEMBL5135453,CN1CCC(N(Cc2ccc(F)cn2)C(=O)NCc2ccc(CCC(F)(F)F)cc2)CC1,CHEMBL5181432,CHEMBL5181432,18.3,UO_0000065
55,CHEMBL5135453,CC(C)CCc1ccc(CNC(=O)N(Cc2ccc(F)cn2)C2CCN(C)CC2)cc1,CHEMBL5181200,CHEMBL5181200,67.2,UO_0000065
56,CHEMBL5135453,CC(C)Cc1ccc(CNC(=O)N(Cc2ccc(F)cn2)C2CCN(C)CC2)cc1,CHEMBL5208211,CHEMBL5208211,26.4,UO_0000065
57,CHEMBL5135453,CN1CCC(N(Cc2ccc(F)cn2)C(=O)NCc2ccc3c(c2)CC(C)(C)O3)CC1,CHEMBL5197899,CHEMBL5197899,3.49,UO_0000065
58,CHEMBL5135453,CC(C)C1Cc2cc(CNC(=O)N(Cc3ccc(F)cn3)C3CCN(C)CC3)ccc2O1,CHEMBL5191581,CHEMBL5191581,9.98,UO_0000065
59,CHEMBL5135453,CC(C)c1cc2cc(CNC(=O)N(Cc3ccc(F)cn3)C3CCN(C)CC3)ccc2o1,CHEMBL5205849,CHEMBL5205849,20.9,UO_0000065
60,CHEMBL5135453,CN1CCC(N(Cc2ccc(F)cn2)C(=O)NCc2ccc3c(c2)CCC(C)(C)O3)CC1,CHEMBL5194545,CHEMBL5194545,21.25,UO_0000065
61,CHEMBL5135453,CN1CCC(N(Cc2ccc(F)cn2)C(=O)NCc2ccc3c(c2)C=CC(C)(C)O3)CC1,CHEMBL5200155,CHEMBL5200155,17.27,UO_0000065
62,CHEMBL5135453,CN1CCC(N(Cc2ccc(F)cn2)C(=O)NCc2ccc(OCC(F)(F)F)c(F)c2)CC1,CHEMBL5185362,CHEMBL5185362,6.86,UO_0000065
63,CHEMBL5135453,CN1CCC(N(Cc2ccc(F)cn2)C(=O)NCc2ccc(OCC(F)(F)F)c(Cl)c2)CC1,CHEMBL5188950,CHEMBL5188950,125.0,UO_0000065
64,CHEMBL5135453,CN1CCC(N(Cc2ccc(F)cn2)C(=O)NCc2ccc(OCC(F)(F)F)c(Br)c2)CC1,CHEMBL5200788,CHEMBL5200788,12.0,UO_0000065
65,CHEMBL5135453,CN1CCC(N(Cc2ccc(F)cn2)C(=O)NCc2ccc(OCC(F)(F)F)c(C(F)(F)F)c2)CC1,CHEMBL5192882,CHEMBL5192882,27.3,UO_0000065
66,CHEMBL5135453,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCCC(N(C)C)C2)cc1,CHEMBL5193532,CHEMBL5193532,500.0,UO_0000065
67,CHEMBL5135453,CC(C)COc1ccc(CNC(=O)N(Cc2cccc3sccc23)C2CCN(C)CC2)cc1,CHEMBL5174421,CHEMBL5174421,500.0,UO_0000065
68,CHEMBL5135453,CC(C)COc1ccc(CNC(=O)N(Cc2cccc3[nH]cnc23)C2CCN(C)CC2)cc1,CHEMBL5201875,CHEMBL5201875,500.0,UO_0000065
69,CHEMBL5135453,CC(C)COc1ccc(CNC(=O)N(Cc2cn[nH]c2)C2CCN(C)CC2)cc1,CHEMBL5169670,CHEMBL5169670,500.0,UO_0000065
70,CHEMBL5135453,Cc1noc(C)c1CN(C(=O)NCc1ccc(OCC(C)C)cc1)C1CCN(C)CC1,CHEMBL5176379,CHEMBL5176379,500.0,UO_0000065
71,CHEMBL5135453,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)nc2)C2CCN(C)CC2)cc1,CHEMBL5179185,CHEMBL5179185,500.0,UO_0000065
